tissue,cell_type,marker,role,reference,notes
gastric,pit_cell,MUC5AC,canonical,PMID:36066544,pit mucous cell (foveolar) surface-lining marker
gastric,pit_cell,TFF1,canonical,PMID:36066544,Trefoil factor 1 — pit cell secretory
gastric,pit_cell,GKN1,canonical,PMID:36066544,Gastrokine 1
gastric,pit_cell,GKN2,canonical,PMID:36066544,Gastrokine 2
gastric,pit_cell,PSCA,optional,PMID:36066544,Prostate stem cell antigen — pit cell surface
gastric,chief_cell,PGA3,canonical,PMID:36066544,Pepsinogen A3 — chief cell zymogenic
gastric,chief_cell,PGA4,canonical,PMID:36066544,Pepsinogen A4
gastric,chief_cell,LIPF,canonical,PMID:36066544,Gastric lipase
gastric,chief_cell,PGC,canonical,PMID:36066544,Progastricsin / pepsinogen C
gastric,chief_cell,RAB3D,optional,PMID:36066544,Secretory vesicle — chief cell
gastric,parietal_cell,ATP4A,canonical,PMID:36066544,H+/K+ ATPase alpha — parietal cell proton pump
gastric,parietal_cell,ATP4B,canonical,PMID:36066544,H+/K+ ATPase beta
gastric,parietal_cell,GIF,canonical,PMID:36066544,Gastric intrinsic factor
gastric,parietal_cell,HRH2,optional,PMID:36066544,Histamine receptor H2
gastric,neck_cell,MUC6,canonical,PMID:36066544,Mucin 6 — neck cell / antral gland
gastric,neck_cell,TFF2,canonical,PMID:36066544,Trefoil factor 2 — neck cell / SPEM
gastric,neck_cell,CD44,canonical,PMID:36066544,CD44 — neck cell progenitor marker
gastric,neck_cell,TNFRSF19,optional,PMID:36066544,TROY — neck stem/progenitor
gastric,enteroendocrine,CHGA,canonical,PMID:36066544,Chromogranin A — neuroendocrine
gastric,enteroendocrine,CHGB,canonical,PMID:36066544,Chromogranin B
gastric,enteroendocrine,GAST,optional,PMID:36066544,Gastrin — G cell
gastric,enteroendocrine,GHRL,optional,PMID:36066544,Ghrelin — X/A cell
gastric,enteroendocrine,SST,optional,PMID:36066544,Somatostatin — D cell
gastric,tuft_cell,DCLK1,canonical,PMID:36066544,Doublecortin-like kinase 1
gastric,tuft_cell,POU2F3,canonical,PMID:36066544,POU class 2 homeobox 3 — tuft cell TF
gastric,tuft_cell,TRPM5,optional,PMID:36066544,TRP channel — tuft cell chemosensory
gastric,goblet_cell,MUC2,canonical,PMID:36066544,Mucin 2 — intestinal goblet / IM
gastric,goblet_cell,TFF3,canonical,PMID:36066544,Trefoil factor 3 — goblet / IM
gastric,goblet_cell,CDX2,optional,PMID:36066544,Caudal type homeobox 2 — intestinal metaplasia TF
gastric,SPEM,TFF2,canonical,PMID:36066544,Trefoil factor 2 — SPEM signature
gastric,SPEM,MUC6,canonical,PMID:36066544,Mucin 6 — co-expressed with TFF2 in SPEM
gastric,SPEM,CD44,canonical,PMID:36066544,CD44 — SPEM stem-like surface marker
gastric,SPEM,OLFM4,optional,PMID:36066544,Olfactomedin 4 — SPEM / intestinal stem
gastric,SPEM,REG4,optional,PMID:36066544,Regenerating family member 4
gastric,fibroblast,DCN,canonical,PMID:36066544,Decorin — fibroblast ECM
gastric,fibroblast,COL1A1,canonical,PMID:36066544,Collagen type I — fibroblast
gastric,fibroblast,COL1A2,canonical,PMID:36066544,Collagen type I — fibroblast
gastric,fibroblast,COL3A1,optional,PMID:36066544,Collagen type III
gastric,fibroblast,COL6A1,optional,PMID:36066544,Collagen type VI
gastric,endothelial,PECAM1,canonical,PMID:36066544,CD31 — endothelial
gastric,endothelial,CDH5,canonical,PMID:36066544,VE-Cadherin — endothelial
gastric,endothelial,VWF,canonical,PMID:36066544,von Willebrand factor — endothelial
gastric,endothelial,ENG,optional,PMID:36066544,Endoglin — endothelial
gastric,myeloid,CD14,canonical,PMID:36066544,Monocyte/macrophage
gastric,myeloid,CD68,canonical,PMID:36066544,Pan-macrophage
gastric,myeloid,FCGR3A,optional,PMID:36066544,CD16 — monocyte subset
gastric,myeloid,CSF1R,optional,PMID:36066544,CSF1 receptor — macrophage
gastric,mast_cell,KIT,canonical,PMID:36066544,c-Kit — mast cell
gastric,mast_cell,TPSAB1,canonical,PMID:36066544,Tryptase alpha/beta 1 — mast cell
gastric,mast_cell,CPA3,canonical,PMID:36066544,Carboxypeptidase A3 — mast cell
gastric,B_cell,MS4A1,canonical,PMID:36066544,CD20 — B cell
gastric,B_cell,CD79A,canonical,PMID:36066544,CD79a — B cell receptor
gastric,B_cell,CD79B,canonical,PMID:36066544,CD79b — B cell receptor
gastric,B_cell,JCHAIN,optional,PMID:36066544,J chain — plasma B cell
gastric,B_cell,MZB1,optional,PMID:36066544,Plasma B cell
gastric,T_cell,CD3D,canonical,PMID:36066544,CD3 delta — pan-T cell
gastric,T_cell,CD3E,canonical,PMID:36066544,CD3 epsilon — pan-T cell
gastric,T_cell,CD3G,canonical,PMID:36066544,CD3 gamma — pan-T cell
gastric,T_cell,CD4,optional,PMID:36066544,CD4 — helper T cell
gastric,T_cell,CD8A,optional,PMID:36066544,CD8A — cytotoxic T cell
gastric,T_cell,CD8B,optional,PMID:36066544,CD8B — cytotoxic T cell
gastric,T_cell,FOXP3,optional,PMID:36066544,FoxP3 — Treg
gastric,smooth_muscle,ACTA2,canonical,PMID:36066544,alpha-SMA — smooth muscle
gastric,smooth_muscle,MYH11,canonical,PMID:36066544,Myosin heavy chain 11
gastric,smooth_muscle,DES,optional,PMID:36066544,Desmin
gastric,smooth_muscle,CNN1,optional,PMID:36066544,Calponin 1
